Bin,Property,Count,Mean,Median,Std,Min,Max,Q25,Q75
CID_10_100,MW,87,274.39077307902807,176.95155827591,235.65607528030435,74.06004029609,911.15691911809,145.52951549800002,283.010144235
CID_10_100,RotBonds,87,5.724137931034483,3.0,7.042544557276078,0.0,24.0,2.0,5.0
CID_10_100,TPSA,87,120.72206896551725,91.67,106.3253443625232,0.0,424.72999999999996,55.95,132.13
CID_10_100,HAcceptors,87,5.252873563218391,3.0,5.5598611133828655,0.0,21.0,2.0,5.5
CID_10_100,HDonors,87,3.218390804597701,2.0,2.7887868803658176,0.0,11.0,1.0,4.0
CID_10_100,cLogP,87,-0.25207954022988494,-0.4718000000000007,3.349677700476497,-6.474099999999995,14.354399999999968,-2.0802000000000005,0.6721499999999999
CID_10_100,AromaticRings,87,0.42528735632183906,0.0,0.7092771280488064,0.0,2.0,0.0,1.0
CID_10_100,TotalRings,87,0.8735632183908046,0.0,1.1891427213142405,0.0,5.0,0.0,1.0
CID_10_100,Heterocycles,87,0.5632183908045977,0.0,1.0858620991002947,0.0,4.0,0.0,0.5
CID_10_100,NumF,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID_10_100,NumCl,87,0.20689655172413793,0.0,0.6313133419195616,0.0,3.0,0.0,0.0
CID_10_100,ChiralCenters,87,2.0229885057471266,1.0,2.7278793684295395,0.0,9.0,0.0,3.0
CID_10_100,QED,87,0.39143314041788957,0.40378479816876095,0.18330190086557346,0.02950130977002526,0.7329727353787588,0.2909068229208206,0.5306816336553626
CID_100_1000,MW,100,273.5404194016533,214.492040619955,210.73922124891294,2.015650064,910.2087404581803,136.05615492209,357.68689210749994
CID_100_1000,RotBonds,100,5.88,5.0,6.367975432671761,0.0,28.0,1.0,7.0
CID_100_1000,TPSA,100,114.5557,88.80000000000001,94.4335809370584,0.0,381.63999999999993,55.6525,144.2725
CID_100_1000,HAcceptors,100,4.9,3.0,4.947195920392428,0.0,21.0,2.0,6.0
CID_100_1000,HDonors,100,3.12,2.0,2.995889439774696,0.0,14.0,1.0,5.0
CID_100_1000,cLogP,100,-0.1661654999999992,-0.6524500000000002,3.2240322888053314,-9.748800000000012,12.605799999999977,-2.0304749999999987,1.2216749999999998
CID_100_1000,AromaticRings,100,0.53,0.0,0.7843803447642768,0.0,4.0,0.0,1.0
CID_100_1000,TotalRings,100,1.18,1.0,1.388116957200901,0.0,6.0,0.0,2.0
CID_100_1000,Heterocycles,100,0.75,0.0,1.2007993970348219,0.0,5.0,0.0,1.0
CID_100_1000,NumF,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID_100_1000,NumCl,100,0.05,0.0,0.500000000000001,0.0,5.0,0.0,0.0
CID_100_1000,ChiralCenters,100,2.54,1.0,3.6360151348153193,0.0,20.0,0.0,4.0
CID_100_1000,QED,100,0.38170610295056173,0.3926519074279948,0.16785014074569954,0.030438488188428075,0.7987307070128231,0.2862938645266586,0.4938899335784537
CID_1000_10000,MW,100,311.60707389623695,294.15985449809,156.94371351344648,92.039277968,849.1565251940899,194.5484380880225,362.9744864140224
CID_1000_10000,RotBonds,100,5.07,4.0,5.07569968307102,0.0,33.0,2.0,6.0
CID_1000_10000,TPSA,100,75.0087,63.245000000000005,66.91612208774971,0.0,380.0399999999999,30.740000000000002,104.71249999999999
CID_1000_10000,HAcceptors,100,3.67,3.0,3.4846126402406994,0.0,19.0,2.0,5.0
CID_1000_10000,HDonors,100,1.99,2.0,2.0913240694919475,0.0,14.0,1.0,3.0
CID_1000_10000,cLogP,100,1.6214539000000014,2.11125,2.9630435240096547,-11.628600000000006,7.641600000000009,0.19270500000000135,3.199775000000001
CID_1000_10000,AromaticRings,100,1.08,1.0,1.1252833537658975,0.0,6.0,0.0,2.0
CID_1000_10000,TotalRings,100,2.08,2.0,1.8459893736630144,0.0,8.0,1.0,3.0
CID_1000_10000,Heterocycles,100,0.93,0.0,1.3046536751648745,0.0,5.0,0.0,2.0
CID_1000_10000,NumF,100,0.13,0.0,0.7740096311357559,0.0,7.0,0.0,0.0
CID_1000_10000,NumCl,100,0.3,0.0,0.7177405625652743,0.0,3.0,0.0,0.0
CID_1000_10000,ChiralCenters,100,2.01,0.0,3.8468011110374283,0.0,21.0,0.0,2.0
CID_1000_10000,QED,100,0.5380988219104252,0.5541690643168897,0.2196012596736548,0.04109643572638576,0.9108794455335621,0.41807497739601973,0.7056691744377097
CID_10000_100000,MW,100,286.4188302178324,262.671766170045,139.67882030261993,54.97904994008999,769.1252934480002,195.539715155,342.68552190709
CID_10000_100000,RotBonds,100,4.38,4.0,3.6147285688226463,0.0,20.0,2.0,6.0
CID_10000_100000,TPSA,100,51.919399999999996,43.215,43.3836953458161,0.0,223.74,28.23,66.78
CID_10000_100000,HAcceptors,100,2.82,2.0,2.2036700334128105,0.0,12.0,1.0,4.0
CID_10000_100000,HDonors,100,1.15,1.0,1.2583057392117916,0.0,6.0,0.0,2.0
CID_10000_100000,cLogP,100,1.9121161000000009,1.9815499999999995,2.8189284077496475,-7.5784,11.91229999999999,0.7897500000000001,3.2221150000000023
CID_10000_100000,AromaticRings,100,1.25,1.0,1.1135075167680684,0.0,6.0,0.0,2.0
CID_10000_100000,TotalRings,100,2.12,2.0,1.8547236990991407,0.0,13.0,1.0,3.0
CID_10000_100000,Heterocycles,100,0.63,0.0,1.125058921015951,0.0,9.0,0.0,1.0
CID_10000_100000,NumF,100,0.05,0.0,0.35887028128263637,0.0,3.0,0.0,0.0
